2020-07-01 17:10:25.775243 ; Session        ; Debug       ; Session log loaded as 'C:\Users\ae1\Source\Repos\tarang1606\FieldFox-N9918B-SA\FieldFox.SA.N9918B\bin\Debug\SessionLogs\tap 2020-07-01 17-10-25.txt'. [6.35 ms]
2020-07-01 17:10:25.804164 ; Session        ; Debug       ; Running '"C:\Users\ae1\AppData\Local\Temp\2rhlijvs.qlh\tap.exe" package install --dependencies --force "Developer's System CE" --target "C:\Users\ae1\Source\Repos\tarang1606\FieldFox-N9918B-SA\FieldFox.SA.N9918B\bin\Debug"' in 'C:\Users\ae1\Source\Repos\tarang1606\FieldFox-N9918B-SA\FieldFox.SA.N9918B\bin\Debug'.
2020-07-01 17:10:25.867992 ; Session        ; Debug       ; Microsoft Windows 10.0.18363 X64
2020-07-01 17:10:25.868991 ; Session        ; Debug       ; .NET Framework 4.8.4180.0
2020-07-01 17:10:25.887940 ; Resolver       ; Debug       ; Found 17/17 assembly files. [15.0 ms]
2020-07-01 17:10:25.914868 ; Session        ; Debug       ; OpenTAP Engine 9.7.0+c65b0c5a X64
2020-07-01 17:10:26.003629 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\ae1\AppData\Local\Temp\2rhlijvs.qlh\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2020-07-01 17:10:26.046515 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\ae1\AppData\Local\Temp\2rhlijvs.qlh\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2020-07-01 17:10:26.720899 ; Searcher       ; Debug       ; Ordered 16 assemblies according to references. [691 ms]
2020-07-01 17:10:26.840586 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 137 plugin types. [814 ms]
2020-07-01 17:10:26.840586 ; PluginManager  ; Debug       ; Found version 9.7.0+c65b0c5a   of OpenTap.dll
2020-07-01 17:10:26.840586 ; PluginManager  ; Debug       ; Found version 9.7.0+c65b0c5a   of OpenTap.Package.dll
2020-07-01 17:10:26.840586 ; PluginManager  ; Debug       ; Found version 9.7.0+c65b0c5a   of OpenTap.Plugins.BasicSteps.dll
2020-07-01 17:10:26.840586 ; PluginManager  ; Debug       ; Searched 17 Assemblies. [814 ms]
2020-07-01 17:10:26.895438 ; PluginManager  ; Debug       ; Loaded OpenTap. [331 us]
2020-07-01 17:10:26.924362 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [12.1 ms]
2020-07-01 17:10:27.000158 ; Session        ; Debug       ; Session log loaded as 'C:\Users\ae1\Source\Repos\tarang1606\FieldFox-N9918B-SA\FieldFox.SA.N9918B\bin\Debug\SessionLogs\SessionLog 2020-07-01 17-10-25.txt'. [46.1 ms]
2020-07-01 17:10:27.058005 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [40.7 ms]
2020-07-01 17:10:27.110863 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [4.83 ms]
2020-07-01 17:10:27.365182 ; PackageAction  ; Information ; Installing to C:\Users\ae1\Source\Repos\tarang1606\FieldFox-N9918B-SA\FieldFox.SA.N9918B\bin\Debug
2020-07-01 17:10:27.369173 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [3.73 ms]
2020-07-01 17:10:28.236823 ; PackageAction  ; Debug       ; Found package Developer's System CE version 9.8.1+76e06503 [376 ms]
2020-07-01 17:10:28.237820 ; PackageAction  ; Debug       ; Resolving dependencies.
2020-07-01 17:10:29.655324 ; PackageAction  ; Information ; 8 required dependencies are currently not installed.
2020-07-01 17:10:29.655324 ; PackageAction  ; Debug       ; Adding dependency Editor CE 9.7.1+0031e3f6
2020-07-01 17:10:29.655324 ; PackageAction  ; Debug       ; Adding dependency OSIntegration 1.3.0+f4db057d
2020-07-01 17:10:29.655324 ; PackageAction  ; Debug       ; Adding dependency WPF Controls 9.7.1+0031e3f6
2020-07-01 17:10:29.655324 ; PackageAction  ; Debug       ; Adding dependency Results Viewer CE 9.7.1+0031e3f6
2020-07-01 17:10:29.655324 ; PackageAction  ; Debug       ; Adding dependency CSV 9.7.1+0031e3f6
2020-07-01 17:10:29.655324 ; PackageAction  ; Debug       ; Adding dependency SQLite and PostgreSQL 9.4.2+3009aace
2020-07-01 17:10:29.655324 ; PackageAction  ; Debug       ; Adding dependency SDK 9.7.0+c65b0c5a
2020-07-01 17:10:29.655324 ; PackageAction  ; Debug       ; Adding dependency Visual Studio SDK CE 1.0.8+30d65bf9
2020-07-01 17:10:30.312019 ; PackageAction  ; Debug       ; Downloading 'Visual Studio SDK CE' version '1.0.8+30d65bf9' from 'https://packages.opentap.io'
2020-07-01 17:10:31.791225 ; PackageAction  ; Information ; Downloaded 'Visual Studio SDK CE' to 'C:\Users\ae1\Source\Repos\tarang1606\FieldFox-N9918B-SA\FieldFox.SA.N9918B\bin\Debug\PackageCache\Visual Studio SDK CE.1.0.8+30d65bf9.TapPackage'. [2.12 s]
2020-07-01 17:10:32.278124 ; PackageAction  ; Debug       ; Downloading 'SDK' version '9.7.0+c65b0c5a' from 'https://packages.opentap.io'
2020-07-01 17:10:35.010376 ; PackageAction  ; Information ; Downloaded 'SDK' to 'C:\Users\ae1\Source\Repos\tarang1606\FieldFox-N9918B-SA\FieldFox.SA.N9918B\bin\Debug\PackageCache\SDK.9.7.0+c65b0c5a.Windows,Linux.TapPackage'. [3.21 s]
2020-07-01 17:10:35.493767 ; PackageAction  ; Debug       ; Downloading 'SQLite and PostgreSQL' version '9.4.2+3009aace' from 'https://packages.opentap.io'
